year,month,rvar,rvarrf,rvar_nan,rvarrf_nan,avol,rvarfilter,rvarfilter1big,rvarfilter1small,fssvar,fssvarrf,rvol,rvolrf,rvol_nan,rvolrf_nan,fssvol,fssvolrf,rvolfilter,rvolfilter1big,rvolfilter1small,lrvol,lrvolrf,lrvol_nan,lrvolrf_nan,lfssvol,lfssvolrf,lrvolfilter,lrvolfilter1big,lrvolfilter1small,lavol,zlrvol,index,d12,e12,bm,tbl,aaa,baa,lty,ntis,rfree,svar,csp,crsp_spvw,crsp_spvwx,ip,ted,ted2,cp,ppi,npy,nber,hfrvol,lhfrvol,ads,t,infl,ltr,corpr,dfr,ret,lnrfree,exret,ret2,exret2,dp,dy,ep,de,tms,dfy,odfy,lsvar,exret3,ppivar,ppivol,ipvar,ipvol,zads,zip,fitret,fitret1big,fitret1small
1886,1,.0017152,.0017266,,,.1453765,.0017405,,,.0014108,.0014485,.1434658,.14394,,,.1301147,.1318406,.1445195,,,-1.941659,-1.938359,,,-2.039339,-2.026162,-1.934341,,,-1.928428,.2267986,5.2,.2383,.275,,,,,,,.002816,.001729,,,,,,,,,,0,,,,1886m1,,,,,.0038116,.0028121,.0009995,.0038189,.0010028,-3.082884,-3.082884,-2.939643,-.1432407,,,,-6.359992,,,,,,,,.00372861,,
1886,2,.0015498,.0015452,,,.1364596,.001542,,,.0011449,.0011341,.1363745,.1361689,,,.1172128,.1166565,.1360301,,,-1.992351,-1.993859,,,-2.143764,-2.148521,-1.994879,,,-1.991727,.1218878,5.3,.2367,.28,,,,,,,.002514,.001547,,,,,,,,,,0,,,,1886m2,,,,,.0227631,.0025112,.0202519,.0230241,.0205098,-3.108669,-3.08962,-2.940673,-.1679961,,,,-6.471164,,,,,,,,.00381004,,
1886,3,.0018259,.0018334,,,.1316799,.0018418,,,.0017821,.0018058,.1480235,.1483287,,,.1462359,.1472068,.1486657,,,-1.910384,-1.908325,,,-1.922535,-1.915917,-1.906055,,,-2.027381,.2915235,5.19,.235,.285,,,,,,,.002492,.001832,,,,,,,,,,0,,,,1886m3,,,,,-.017207,.0024891,-.0196961,-.0170598,-.019552,-3.094903,-3.115877,-2.902,-.1929037,,,,-6.302289,,,,,,,,.00377033,,
1886,4,.0012126,.0012215,,,.1104212,.0012312,,,.0012121,.0012375,.1206285,.1210683,,,.1206039,.1218588,.1215479,,,-2.115039,-2.111401,,,-2.115244,-2.104892,-2.107447,,,-2.203453,-.1320249,5.12,.2333,.29,,,,,,,.002772,.001223,,,,,,,,,,0,,,,1886m4,,,,,-.0097893,.0027681,-.0125574,-.0097415,-.0125134,-3.088584,-3.102164,-2.871029,-.2175557,,,,-6.706757,,,,,,,,.00398053,,
1886,5,.0019184,.0019036,,,.1650245,.0018908,,,.0013989,.0013572,.1517252,.1511415,,,.129565,.1276174,.1506291,,,-1.885684,-1.889539,,,-2.043572,-2.058719,-1.892935,,,-1.801661,.3426417,5.02,.2317,.295,,,,,,,.002632,.001909,,,,,,,,,,0,,,,1886m5,,,,,-.0158856,.0026286,-.0185142,-.0157601,-.0183922,-3.075742,-3.095466,-2.83421,-.2415319,,,,-6.261117,,,,,,,,.00414255,,
1886,6,.0012869,.0012815,,,.1305113,.0012774,,,.0002039,.0001886,.1242714,.1240077,,,.049463,.0475718,.1238114,,,-2.085287,-2.087412,,,-3.00653,-3.045516,-2.088996,,,-2.036295,-.0704506,5.25,.23,.3,,,,,,,.002478,.001283,,,,,,,,,,0,,,,1886m6,,,,,.0484423,.0024745,.0459678,.0496348,.0471573,-3.127904,-3.083106,-2.862201,-.2657032,,,,-6.65871,,,,,,,,.00434233,,
1886,7,.0010423,.0010332,,,.1080425,.0010257,,,.0002621,.0002382,.1118393,.1113491,,,.0560791,.0534604,.110941,,,-2.190692,-2.195085,,,-2.880991,-2.928815,-2.198757,,,-2.225231,-.2885933,5.33,.2283,.305,,,,,,,.002544,.001035,,,,,,,,,,0,,,,1886m7,,,,,.0186862,.0025405,.0161457,.0188619,.0163181,-3.150446,-3.135323,-2.860795,-.2896512,,,,-6.873073,,,,,,,,.00413355,,
1886,8,.0009459,.0009514,,,.1118551,.0009579,,,.0011989,.0012157,.1065388,.1068512,,,.1199456,.1207835,.1072149,,,-2.239246,-2.236318,,,-2.120717,-2.113755,-2.23292,,,-2.190551,-.3890786,5.37,.2267,.31,,,,,,,.003463,.00095,,,,,,,,,,0,,,,1886m8,,,,,.0109885,.0034574,.0075311,.0110491,.0075857,-3.164956,-3.157479,-2.852011,-.3129448,,,,-6.959437,,,,,,,,.00411026,,
1886,9,.0008595,.0008409,,,.105038,.0008242,,,.0009004,.0008426,.101558,.1004508,,,.1039463,.1005536,.0994499,,,-2.287125,-2.298087,,,-2.263881,-2.297064,-2.308102,,,-2.253433,-.4881689,5.51,.225,.315,,,,,,,.003919,.000852,,,,,,,,,,0,,,,1886m9,,,,,.0291339,.0039116,.0252223,.0295624,.0256432,-3.19822,-3.172483,-2.861747,-.3364722,,,,-7.067991,,,,,,,,.00413434,,
1886,10,.000897,.0008893,,,.104346,.0008831,,,.0007087,.0006857,.1037484,.1033036,,,.0922183,.0907115,.1029442,,,-2.265787,-2.270083,,,-2.383597,-2.400071,-2.273568,,,-2.260043,-.4440075,5.65,.2233,.32,,,,,,,.004103,.00089,,,,,,,,,,0,,,,1886m10,,,,,.028379,.0040946,.0242844,.0287855,.0246825,-3.230895,-3.205804,-2.87109,-.3598048,,,,-7.024333,,,,,,,,.00404142,,
1886,11,.0003941,.0003919,,,.0701892,.000391,,,.0001386,.0001297,.068773,.0685753,,,.0407838,.0394527,.0684966,,,-2.676944,-2.679823,,,-3.199469,-3.232653,-2.680972,,,-2.656561,-1.294925,5.79,.2217,.325,,,,,,,.004,.000393,,,,,,,,,,0,,,,1886m11,,,,,.0276625,.0039921,.0236704,.0280486,.0240485,-3.262563,-3.238086,-2.880062,-.3825001,,,,-7.841667,,,,,,,,.00395125,,
1886,12,.0028077,.0028147,,,.190161,.0028226,,,.0029372,.0029623,.1835546,.183784,,,.1877402,.1885422,.1840415,,,-1.695243,-1.693994,,,-1.672696,-1.668434,-1.692594,,,-1.659884,.7367731,5.64,.22,.33,,,,,,,.004037,.002815,,,,,,,,,,0,,,,1886m12,,,,,-.0230029,.0040287,-.0270316,-.0227404,-.0267772,-3.244012,-3.27026,-2.838547,-.4054652,,,,-5.872681,,,,,,,,.00386426,,
1887,1,.0018127,.0018228,,,.1437566,.0018376,,,.0002887,.0003182,.1474876,.1478989,,,.0588576,.0617935,.1484965,,,-1.914011,-1.911226,,,-2.832635,-2.783957,-1.907194,,,-1.939633,.2840168,5.58,.2225,.3325,,,,,,,.003691,.001826,,,,,,,,,,0,,,,1887m1,,,,,-.0073779,.0036846,-.0110625,-.0073508,-.0110421,-3.222017,-3.232712,-2.820304,-.4017128,,,,-6.305829,,,,,,,,.00409498,,
1887,2,.0020508,.0020409,,,.1523448,.0020305,,,.0008505,.000817,.1568762,.1564951,,,.1010264,.099015,.1560969,,,-1.852298,-1.854731,,,-2.292373,-2.312484,-1.857278,,,-1.881609,.4117363,5.54,.225,.335,,,,,,,.003184,.002042,,,,,,,,,,0,,,,1887m2,,,,,-.0038155,.0031789,-.0069944,-.0038082,-.0069922,-3.203649,-3.210844,-2.805619,-.3980302,,,,-6.193626,,,,,,,,.00421494,,
1887,3,.0006242,.000618,,,.0906219,.0006119,,,.0004346,.0004158,.0865494,.0861154,,,.0722156,.0706344,.0856919,,,-2.44704,-2.452068,,,-2.628099,-2.650239,-2.456997,,,-2.40106,-.8191231,5.67,.2275,.3375,,,,,,,.003581,.000622,,,,,,,,,,1,,,,1887m3,,,,,.0265327,.0035747,.022958,.0268878,.0233067,-3.215794,-3.1926,-2.821379,-.3944153,,,,-7.38246,,,,,,,,.0043124,,
1887,4,.0003559,.0003529,,,.0688782,.000351,,,.0000467,.0000365,.0653473,.0650712,,,.0236755,.0209142,.0648959,,,-2.72804,-2.732274,,,-3.743315,-3.867325,-2.734971,,,-2.675415,-1.400672,5.8,.23,.34,,,,,,,.003603,.000353,,,,,,,,,,1,,,,1887m4,,,,,.025968,.0035967,.0223713,.0263081,.0227049,-3.227534,-3.204865,-2.836668,-.3908663,,,,-7.948647,,,,,,,,.00421797,,
1887,5,.0003892,.0003853,,,.0683688,.0003823,,,.000433,.0004207,.0683404,.0679973,,,.0720844,.0710483,.0677309,,,-2.683254,-2.688287,,,-2.629918,-2.644396,-2.692213,,,-2.682839,-1.307985,5.9,.2325,.3425,,,,,,,.003478,.000386,,,,,,,,,,1,,,,1887m5,,,,,.0203729,.0034721,.0169008,.0205819,.0171038,-3.233817,-3.216723,-2.846436,-.3873814,,,,-7.860306,,,,,,,,.00412641,,
1887,6,.0014423,.0014549,,,.1222485,.0014724,,,.0014869,.0015222,.1315595,.1321338,,,.1335775,.135155,.1329226,,,-2.028296,-2.023941,,,-2.013074,-2.001333,-2.017989,,,-2.101699,.047496,5.73,.235,.345,,,,,,,.003419,.001458,,,,,,,,,,1,,,,1887m6,,,,,-.025825,.0034135,-.0292384,-.0254944,-.0289137,-3.193885,-3.223122,-2.809927,-.3839589,,,,-6.530717,,,,,,,,.00406955,,
1887,7,.0016909,.0017139,,,.140449,.0017445,,,.001696,.00176,.1424462,.1434133,,,.1426623,.1453283,.144684,,,-1.948791,-1.942024,,,-1.947275,-1.92876,-1.933203,,,-1.962911,.2120378,5.59,.2375,.3475,,,,,,,.004199,.001705,,,,,,,,,,1,,,,1887m7,,,,,-.0212019,.0041897,-.0253917,-.0209787,-.0251773,-3.158567,-3.183303,-2.77797,-.3805971,,,,-6.374352,,,,,,,,.00430415,,
1887,8,.0023376,.0023352,,,.1557398,.0023338,,,.0014104,.0014133,.1674841,.1673972,,,.130097,.1302279,.1673499,,,-1.786867,-1.787386,,,-2.039475,-2.038469,-1.787668,,,-1.859569,.5471516,5.45,.24,.35,,,,,,,.004316,.002336,,,,,,,,,,1,,,,1887m8,,,,,-.0217007,.0043068,-.0260075,-.021467,-.0257831,-3.122732,-3.148096,-2.745438,-.3772942,,,,-6.0595,,,,,,,,.00450998,,
1887,9,.0019961,.0019946,,,.1482995,.0019946,,,.0024459,.0024475,.1547701,.154711,,,.1713208,.1713773,.1547084,,,-1.865814,-1.866196,,,-1.764217,-1.763888,-1.866213,,,-1.908521,.3837639,5.38,.2425,.3525,,,,,,,.00475,.001995,,,,,,,,,,1,,,,1887m9,,,,,-.009178,.0047383,-.0139163,-.009136,-.0138855,-3.099442,-3.112369,-2.725393,-.3740489,,,,-6.217031,,,,,,,,.00471936,,
1887,10,.0029403,.0029565,,,.185557,.0029785,,,.0016751,.0017212,.1878387,.1883571,,,.1417783,.1437145,.1890544,,,-1.672172,-1.669416,,,-1.95349,-1.939926,-1.66572,,,-1.684393,.7845208,5.2,.245,.355,,,,,,,.004338,.002955,,,,,,,,,,1,,,,1887m10,,,,,-.0301112,.0043288,-.03444,-.0296624,-.0340005,-3.055156,-3.089185,-2.684296,-.3708595,,,,-5.824173,,,,,,,,.00484999,,
1887,11,.0016264,.0016098,,,.1325438,.001591,,,.0015564,.0015113,.1397047,.1389875,,,.1366625,.1346666,.1381746,,,-1.968224,-1.973371,,,-1.990241,-2.004953,-1.979237,,,-2.020842,.1718188,5.3,.2475,.3575,,,,,,,.003875,.001608,,,,,,,,,,1,,,,1887m11,,,,,.0229322,.0038677,.0190646,.0231972,.019322,-3.064052,-3.045003,-2.696327,-.3677247,,,,-6.432773,,,,,,,,.00511318,,
